" Tuberculosis of genitourinary system, unspecified",A18.10
 Tuberculosis of kidney and ureter,A18.11
 Tuberculosis of bladder,A18.12
 Tuberculosis of other urinary organs,A18.13
 Tuberculosis of prostate,A18.14
 Tuberculosis of other male genital organs,A18.15
 Tuberculosis of cervix,A18.16
 Tuberculous female pelvic inflammatory disease,A18.17
 Tuberculosis of other female genital organs,A18.18
 Tuberculous peripheral lymphadenopathy,A18.2
" Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3
 Tuberculous peritonitis,A18.31
 Tuberculous enteritis,A18.32
 Retroperitoneal tuberculosis,A18.39
 Tuberculosis of skin and subcutaneous tissue,A18.4
 Tuberculosis of eye,A18.5
" Tuberculosis of eye, unspecified",A18.50
 Tuberculous episcleritis,A18.51
 Tuberculous keratitis,A18.52
 Tuberculous chorioretinitis,A18.53
 Tuberculous iridocyclitis,A18.54
 Other tuberculosis of eye,A18.59
 Tuberculosis of (inner) (middle) ear,A18.6
 Tuberculosis of adrenal glands,A18.7
 Tuberculosis of other specified organs,A18.8
 Tuberculosis of thyroid gland,A18.81
 Tuberculosis of other endocrine glands,A18.82
" Tuberculosis of digestive tract organs, not elsewhere classified Excludes1: tuberculosis of intestine (A18.32)",A18.83
 Tuberculosis of heart,A18.84
 Tuberculosis of spleen,A18.85
 Tuberculosis of other sites,A18.89
 Miliary tuberculosis,A19
 Acute miliary tuberculosis of a single specified site,A19.0
 Acute miliary tuberculosis of multiple sites,A19.1
" Acute miliary tuberculosis, unspecified",A19.2
 Other miliary tuberculosis,A19.8
" Miliary tuberculosis, unspecified",A19.9
 Plague,A20
 Bubonic plague,A20.0
 Cellulocutaneous plague,A20.1
 Pneumonic plague,A20.2
 Plague meningitis,A20.3
 Septicemic plague,A20.7
 Other forms of plague,A20.8
" Plague, unspecified",A20.9
 Tularemia,A21
 Ulceroglandular tularemia,A21.0
 Oculoglandular tularemia,A21.1
 Pulmonary tularemia,A21.2
 Gastrointestinal tularemia,A21.3
" Tularemia, unspecified",A21.9
 Anthrax,A22
 Cutaneous anthrax,A22.0
 Pulmonary anthrax,A22.1
 Gastrointestinal anthrax,A22.2
 Anthrax sepsis,A22.7
 Other forms of anthrax,A22.8
" Anthrax, unspecified",A22.9
 Brucellosis,A23
 Brucellosis due to Brucella melitensis,A23.0
 Brucellosis due to Brucella abortus,A23.1
 Brucellosis due to Brucella suis,A23.2
 Brucellosis due to Brucella canis,A23.3
 Other brucellosis,A23.8
" Brucellosis, unspecified",A23.9
 Glanders and melioidosis,A24
 Glanders,A24.0
 Acute and fulminating melioidosis,A24.1
 Subacute and chronic melioidosis,A24.2
 Other melioidosis,A24.3
" Melioidosis, unspecified",A24.9
 Rat-bite fevers,A25
 Spirillosis,A25.0
 Streptobacillosis,A25.1
" Rat-bite fever, unspecified",A25.9
 Cutaneous erysipeloid,A26.0
 Erysipelothrix sepsis,A26.7
 Other forms of erysipeloid,A26.8
" Erysipeloid, unspecified",A26.9
 Leptospirosis,A27
 Leptospirosis icterohemorrhagica,A27.0
 Other forms of leptospirosis,A27.8
 Aseptic meningitis in leptospirosis A27.89 Other forms of leptospirosis,A27.81
" Leptospirosis, unspecified",A27.9
 Other,A28
 Pasteurellosis,A28.0
 Cat-scratch disease,A28.1
 Extraintestinal yersiniosis,A28.2
" Other specified zoonotic bacterial diseases, not elsewhere classified",A28.8
" Zoonotic bacterial disease, unspecified",A28.9
 Leprosy [Hansen's disease],A30
 Indeterminate leprosy,A30.0
 Tuberculoid leprosy,A30.1
 Borderline tuberculoid leprosy,A30.2
 Borderline leprosy,A30.3
 Borderline lepromatous leprosy,A30.4
 Lepromatous leprosy,A30.5
 Other forms of leprosy,A30.8
" Leprosy, unspecified",A30.9
 Infection due to other mycobacteria,A31
 Cutaneous mycobacterial infection,A31.1
 Disseminated mycobacterium avium-intracellulare complex (DMAC),A31.2
 Other mycobacterial infections,A31.8
" Mycobacterial infection, unspecified",A31.9
 Listeriosis,A32
 Cutaneous listeriosis,A32.0
 Listerial meningitis and meningoencephalitis,A32.1
 Listerial meningitis,A32.11
 Listerial meningoencephalitis,A32.12
 Listerial sepsis,A32.7
 Other forms of listeriosis,A32.8
 Oculoglandular listeriosis,A32.81
 Listerial endocarditis,A32.82
 Other forms of listeriosis,A32.89
" Listeriosis, unspecified",A32.9
 Tetanus neonatorum,A33
 Obstetrical tetanus,A34
 Other tetanus,A35
 Diphtheria,A36
 Pharyngeal diphtheria,A36.0
 Nasopharyngeal diphtheria,A36.1
 Laryngeal diphtheria,A36.2
 Cutaneous diphtheria Excludes2: erythrasma (L08.1),A36.3
 Other diphtheria,A36.8
 Diphtheritic cardiomyopathy,A36.81
 Diphtheritic radiculomyelitis,A36.82
 Diphtheritic polyneuritis,A36.83
 Diphtheritic tubulo-interstitial nephropathy,A36.84
 Diphtheritic cystitis,A36.85
 Diphtheritic conjunctivitis,A36.86
 Other diphtheritic complications,A36.89
" Diphtheria, unspecified",A36.9
 Whooping cough,A37
 Whooping cough due to Bordetella pertussis,A37.0
 Whooping cough due to Bordetella pertussis without pneumonia,A37.00
 Whooping cough due to Bordetella pertussis with pneumonia,A37.01
 Whooping cough due to Bordetella parapertussis,A37.1
 Whooping cough due to Bordetella parapertussis without pneumonia,A37.10
 Whooping cough due to Bordetella parapertussis with pneumonia,A37.11
 Whooping cough due to other Bordetella species,A37.8
 Whooping cough due to other Bordetella species without pneumonia,A37.80
 Whooping cough due to other Bordetella species with pneumonia,A37.81
" Whooping cough, unspecified species",A37.9
" Whooping cough, unspecified species without pneumonia",A37.90
" Whooping cough, unspecified species with pneumonia",A37.91
 Scarlet fever Includes: scarlatina,A38
 Scarlet fever with otitis media,A38.0
 Scarlet fever with myocarditis,A38.1
 Scarlet fever with other complications,A38.8
" Scarlet fever, uncomplicated",A38.9
 Meningococcal infection,A39
 Meningococcal meningitis,A39.0
 Waterhouse-Friderichsen syndrome,A39.1
 Acute meningococcemia,A39.2
 Chronic meningococcemia,A39.3
" Meningococcemia, unspecified",A39.4
 Meningococcal heart disease,A39.5
" Meningococcal carditis, unspecified",A39.50
 Meningococcal endocarditis,A39.51
 Meningococcal pericarditis,A39.53
 Other meningococcal infections,A39.8
 Meningococcal encephalitis,A39.81
 Meningococcal retrobulbar neuritis,A39.82
 Meningococcal arthritis,A39.83
 Postmeningococcal arthritis,A39.84
 Other meningococcal infections,A39.89
" Meningococcal infection, unspecified",A39.9
 Streptococcal sepsis,A40
" Sepsis due to streptococcus, group A",A40.0
" Sepsis due to streptococcus, group B",A40.1
 Sepsis due to Streptococcus pneumoniae,A40.3
 Other streptococcal sepsis,A40.8
" Streptococcal sepsis, unspecified",A40.9
 Other,A41
 Sepsis due to Methicillin susceptible Staphylococcus aureus,A41.01
 Sepsis due to Methicillin resistant Staphylococcus aureus,A41.02
 Sepsis due to other specified staphylococcus,A41.1
 Sepsis due to unspecified staphylococcus,A41.2
 Sepsis due to Hemophilus influenzae,A41.3
 Sepsis due to anaerobes,A41.4
 Sepsis due to other Gram-negative organisms,A41.5
" Gram-negative sepsis, unspecified",A41.50
 Sepsis due to Escherichia coli [E. coli] A41.52 Sepsis due to Pseudomonas,A41.51
 Sepsis due to Serratia,A41.53
 Other Gram-negative sepsis,A41.59
 Other specified sepsis,A41.8
 Sepsis due to Enterococcus,A41.81
" Other specified sepsis A41.9 Sepsis, unspecified organism",A41.89
 Actinomycosis,A42
 Pulmonary actinomycosis,A42.0
 Abdominal actinomycosis,A42.1
 Cervicofacial actinomycosis,A42.2
 Actinomycotic sepsis,A42.7
 Other forms of actinomycosis,A42.8
 Actinomycotic meningitis,A42.81
 Actinomycotic encephalitis,A42.82
 Other forms of actinomycosis,A42.89
" Actinomycosis, unspecified",A42.9
 Nocardiosis,A43
 Pulmonary nocardiosis,A43.0
 Cutaneous nocardiosis,A43.1
 Other forms of nocardiosis,A43.8
" Nocardiosis, unspecified",A43.9
 Bartonellosis,A44
 Systemic bartonellosis,A44.0
 Cutaneous and mucocutaneous bartonellosis,A44.1
 Other forms of bartonellosis,A44.8
" Bartonellosis, unspecified",A44.9
 Erysipelas,A46
 Gas gangrene,A48.0
 Legionnaires' disease,A48.1
 Nonpneumonic Legionnaires' disease [Pontiac fever],A48.2
 Toxic shock syndrome,A48.3
 Brazilian purpuric fever,A48.4
 Other specified botulism,A48.5
 Infant botulism,A48.51
 Wound botulism,A48.52
 Other specified bacterial diseases A49 Bacterial infection of unspecified site,A48.8
" Staphylococcal infection, unspecified site",A49.0
" Methicillin susceptible Staphylococcus aureus infection, unspecified site",A49.01
" Methicillin resistant Staphylococcus aureus infection, unspecified site",A49.02
" Streptococcal infection, unspecified site",A49.1
" Hemophilus influenzae infection, unspecified site",A49.2
" Mycoplasma infection, unspecified site",A49.3
 Other bacterial infections of unspecified site,A49.8
" Bacterial infection, unspecified",A49.9
 Congenital syphilis,A50
" Early congenital syphilis, symptomatic",A50.0
 Early congenital syphilitic oculopathy,A50.01
 Early congenital syphilitic osteochondropathy,A50.02
 Early congenital syphilitic pharyngitis,A50.03
 Early congenital syphilitic pneumonia,A50.04
 Early congenital syphilitic rhinitis,A50.05
 Early cutaneous congenital syphilis,A50.06
 Early mucocutaneous congenital syphilis,A50.07
 Early visceral congenital syphilis,A50.08
" Other early congenital syphilis, symptomatic",A50.09
" Early congenital syphilis, latent",A50.1
" Early congenital syphilis, unspecified",A50.2
 Late congenital syphilitic oculopathy Excludes1: Hutchinson's triad (A50.53),A50.3
" Late congenital syphilitic oculopathy, unspecified",A50.30
 Late congenital syphilitic interstitial keratitis,A50.31
 Late congenital syphilitic chorioretinitis,A50.32
 Other late congenital syphilitic oculopathy,A50.39
 Late congenital neurosyphilis [juvenile neurosyphilis],A50.4
" Late congenital neurosyphilis, unspecified",A50.40
 Late congenital syphilitic meningitis,A50.41
 Late congenital syphilitic encephalitis,A50.42
 Late congenital syphilitic polyneuropathy,A50.43
 Late congenital syphilitic optic nerve atrophy,A50.44
 Juvenile general paresis,A50.45
 Other late congenital neurosyphilis,A50.49
 Clutton's joints,A50.51
 Hutchinson's teeth,A50.52
 Hutchinson's triad,A50.53
 Late congenital cardiovascular syphilis,A50.54
 Late congenital syphilitic arthropathy,A50.55
 Late congenital syphilitic osteochondropathy,A50.56
 Syphilitic saddle nose,A50.57
" Other late congenital syphilis, symptomatic",A50.59
" Late congenital syphilis, latent",A50.6
" Late congenital syphilis, unspecified",A50.7
" Congenital syphilis, unspecified A51 Early syphilis",A50.9
 Primary genital syphilis,A51.0
 Primary anal syphilis,A51.1
 Primary syphilis of other sites,A51.2
 Secondary syphilis of skin and mucous membranes,A51.3
 Condyloma latum,A51.31
 Syphilitic alopecia,A51.32
 Other secondary syphilis of skin,A51.39
 Secondary syphilitic meningitis,A51.41
 Secondary syphilitic female pelvic disease,A51.42
 Secondary syphilitic oculopathy,A51.43
 Secondary syphilitic nephritis,A51.44
 Secondary syphilitic hepatitis,A51.45
 Secondary syphilitic osteopathy,A51.46
 Other secondary syphilitic conditions,A51.49
" Early syphilis, latent",A51.5
 Cardiovascular and cerebrovascular syphilis,A52.0
" Cardiovascular syphilis, unspecified",A52.00
 Syphilitic aneurysm of aorta,A52.01
 Syphilitic aortitis,A52.02
 Syphilitic endocarditis,A52.03
 Syphilitic cerebral arteritis,A52.04
 Other cerebrovascular syphilis,A52.05
 Other syphilitic heart involvement,A52.06
 Other cardiovascular syphilis A52.1 Symptomatic neurosyphilis,A52.09
" Symptomatic neurosyphilis, unspecified",A52.10
 Tabes dorsalis,A52.11
 Other cerebrospinal syphilis,A52.12
 Late syphilitic meningitis,A52.13
 Late syphilitic encephalitis,A52.14
 Late syphilitic neuropathy,A52.15
 Charcôt's arthropathy (tabetic),A52.16
 General paresis,A52.17
 Other symptomatic neurosyphilis,A52.19
 Asymptomatic neurosyphilis,A52.2
" Neurosyphilis, unspecified",A52.3
 Other symptomatic late syphilis,A52.7
 Late syphilitic oculopathy,A52.71
 Syphilis of lung and bronchus,A52.72
 Syphilis of liver and other viscera,A52.74
 Syphilis of kidney and ureter,A52.75
 Other genitourinary symptomatic late syphilis,A52.76
 Syphilis of bone and joint,A52.77
 Syphilis of other musculoskeletal tissue,A52.78
 Other symptomatic late syphilis,A52.79
" Late syphilis, latent",A52.8
" Late syphilis, unspecified",A52.9
 Other and unspecified syphilis,A53
" Latent syphilis, unspecified as early or late",A53.0
" Syphilis, unspecified",A53.9
 Gonococcal infection,A54
 Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess Excludes1: gonococcal infection with genitourinary gland abscess (A54.1),A54.0
" Gonococcal infection of lower genitourinary tract, unspecified",A54.00
" Gonococcal cystitis and urethritis, unspecified",A54.01
" Gonococcal vulvovaginitis, unspecified",A54.02
" Gonococcal cervicitis, unspecified",A54.03
 Other gonococcal infection of lower genitourinary tract,A54.09
 Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A54.1
 Gonococcal pelviperitonitis and other gonococcal genitourinary infection,A54.2
 Gonococcal infection of kidney and ureter,A54.21
 Gonococcal prostatitis,A54.22
 Gonococcal female pelvic inflammatory disease,A54.24
 Other gonococcal genitourinary infections A54.3 Gonococcal infection of eye,A54.29
" Gonococcal infection of eye, unspecified",A54.30
 Gonococcal conjunctivitis,A54.31
 Gonococcal iridocyclitis,A54.32
 Gonococcal keratitis,A54.33
 Other gonococcal eye infection,A54.39
 Gonococcal infection of musculoskeletal system,A54.4
" Gonococcal infection of musculoskeletal system, unspecified",A54.40
 Gonococcal spondylopathy,A54.41
 Gonococcal arthritis,A54.42
 Gonococcal osteomyelitis,A54.43
 Gonococcal infection of other musculoskeletal tissue,A54.49
 Gonococcal pharyngitis,A54.5
 Gonococcal infection of anus and rectum,A54.6
 Other gonococcal infections,A54.8
 Gonococcal meningitis,A54.81
 Gonococcal brain abscess,A54.82
 Gonococcal heart infection,A54.83
 Gonococcal pneumonia,A54.84
 Gonococcal peritonitis,A54.85
 Gonococcal sepsis,A54.86
 Other gonococcal infections,A54.89
" Gonococcal infection, unspecified A55 Chlamydial lymphogranuloma (venereum)",A54.9
 Other sexually transmitted chlamydial diseases Includes: sexually transmitted diseases due to Chlamydia,A56
 Chlamydial infection of lower genitourinary tract,A56.0
" Chlamydial infection of lower genitourinary tract, unspecified",A56.00
 Chlamydial cystitis and urethritis,A56.01
 Chlamydial vulvovaginitis,A56.02
 Other chlamydial infection of lower genitourinary tract,A56.09
 Chlamydial infection of pelviperitoneum and other genitourinary organs,A56.1
 Chlamydial female pelvic inflammatory disease,A56.11
 Other chlamydial genitourinary infection,A56.19
" Chlamydial infection of genitourinary tract, unspecified",A56.2
 Chlamydial infection of anus and rectum,A56.3
 Chlamydial infection of pharynx,A56.4
 Sexually transmitted chlamydial infection of other sites,A56.8
 Chancroid,A57
 Granuloma inguinale,A58
 Trichomoniasis,A59
 Urogenital trichomoniasis,A59.0
" Urogenital trichomoniasis, unspecified",A59.00
 Trichomonal vulvovaginitis,A59.01
 Trichomonal prostatitis,A59.02
 Trichomonal cystitis and urethritis,A59.03
 Other urogenital trichomoniasis,A59.09
 Trichomoniasis of other sites,A59.8
" Trichomoniasis, unspecified",A59.9
 Anogenital herpesviral [herpes simplex] infections,A60
 Herpesviral infection of penis,A60.01
 Herpesviral infection of other male genital organs,A60.02
 Herpesviral cervicitis,A60.03
 Herpesviral vulvovaginitis,A60.04
" Herpesviral infection of other urogenital tract A60.1 Herpesviral infection of perianal skin and rectum A60.9 Anogenital herpesviral infection, unspecified",A60.09
" Other predominantly sexually transmitted diseases, not elsewhere classified Excludes2: molluscum contagiosum (B08.1)",A63
 Anogenital (venereal) warts,A63.0
 Other specified predominantly sexually transmitted diseases A64 Unspecified sexually transmitted disease,A63.8
 Nonvenereal syphilis,A65
 Yaws,A66
 Initial lesions of yaws,A66.0
 Multiple papillomata and wet crab yaws,A66.1
 Other early skin lesions of yaws,A66.2
 Hyperkeratosis of yaws,A66.3
 Gummata and ulcers of yaws,A66.4
 Gangosa,A66.5
 Bone and joint lesions of yaws,A66.6
 Other manifestations of yaws,A66.7
 Latent yaws,A66.8
" Yaws, unspecified",A66.9
 Pinta [carate],A67
 Primary lesions of pinta,A67.0
 Intermediate lesions of pinta,A67.1
 Late lesions of pinta,A67.2
 Mixed lesions of pinta,A67.3
" Pinta, unspecified",A67.9
 Relapsing fevers,A68
 Louse-borne relapsing fever,A68.0
 Tick-borne relapsing fever,A68.1
" Relapsing fever, unspecified",A68.9
 Other spirochetal infections,A69
 Necrotizing ulcerative stomatitis,A69.0
 Other Vincent's infections,A69.1
 Lyme disease,A69.2
" Lyme disease, unspecified",A69.20
 Meningitis due to Lyme disease,A69.21
 Other neurologic disorders in Lyme disease,A69.22
 Arthritis due to Lyme disease,A69.23
 Other conditions associated with Lyme disease,A69.29
 Other specified spirochetal infections,A69.8
" Spirochetal infection, unspecified",A69.9
 Chlamydia psittaci infections,A70
 Trachoma,A71
 Initial stage of trachoma,A71.0
 Active stage of trachoma,A71.1
" Trachoma, unspecified",A71.9
 Other diseases caused by chlamydiae,A74
 Other chlamydial diseases,A74.8
 Chlamydial peritonitis A74.89 Other chlamydial diseases,A74.81
" Chlamydial infection, unspecified",A74.9
 Epidemic louse-borne typhus fever due to Rickettsia prowazekii,A75.0
 Recrudescent typhus [Brill's disease],A75.1
 Typhus fever due to Rickettsia typhi,A75.2
 Typhus fever due to Rickettsia tsutsugamushi,A75.3
" Typhus fever, unspecified",A75.9
 Spotted fever [tick-borne rickettsioses],A77
 Spotted fever due to Rickettsia rickettsii,A77.0
 Spotted fever due to Rickettsia conorii,A77.1
 Spotted fever due to Rickettsia siberica,A77.2
 Spotted fever due to Rickettsia australis,A77.3
 Ehrlichiosis,A77.4
" Ehrlichiosis, unspecified",A77.40
 Ehrlichiosis chafeensis [E. chafeensis],A77.41
 Other ehrlichiosis,A77.49
 Other spotted fevers,A77.8
" Spotted fever, unspecified",A77.9
 Q fever,A78
 Other rickettsioses,A79
 Trench fever,A79.0
 Other specified rickettsioses,A79.8
 Rickettsiosis due to Ehrlichia sennetsu A79.89 Other specified rickettsioses,A79.81
" Rickettsiosis, unspecified",A79.9
 Acute poliomyelitis,A80
" Acute paralytic poliomyelitis, vaccine-associated",A80.0
" Acute paralytic poliomyelitis, wild virus, imported",A80.1
" Acute paralytic poliomyelitis, wild virus, indigenous",A80.2
" Acute paralytic poliomyelitis, other and unspecified",A80.3
" Acute paralytic poliomyelitis, unspecified",A80.30
 Other acute paralytic poliomyelitis A80.4 Acute nonparalytic poliomyelitis,A80.39
" Acute poliomyelitis, unspecified",A80.9
 Atypical virus infections of central nervous system,A81
 Creutzfeldt-Jakob disease,A81.0
" Creutzfeldt-Jakob disease, unspecified",A81.00
 Variant Creutzfeldt-Jakob disease,A81.01
 Other Creutzfeldt-Jakob disease,A81.09
 Subacute sclerosing panencephalitis,A81.1
 Progressive multifocal leukoencephalopathy,A81.2
 Other atypical virus infections of central nervous system,A81.8
 Kuru,A81.81
 Gerstmann-Sträussler-Scheinker syndrome,A81.82
" Other atypical virus infections of central nervous system A81.9 Atypical virus infection of central nervous system, unspecified",A81.89
 Rabies,A82
 Sylvatic rabies,A82.0
 Urban rabies,A82.1
" Rabies, unspecified",A82.9
 Mosquito-borne viral encephalitis,A83
 Japanese encephalitis,A83.0
 Western equine encephalitis,A83.1
 Eastern equine encephalitis,A83.2
 St Louis encephalitis,A83.3
 Australian encephalitis,A83.4
 California encephalitis,A83.5
 Rocio virus disease,A83.6
 Other mosquito-borne viral encephalitis,A83.8
" Mosquito-borne viral encephalitis, unspecified",A83.9
 Tick-borne viral encephalitis,A84
 Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],A84.0
 Central European tick-borne encephalitis,A84.1
 Other tick-borne viral encephalitis,A84.8
" Tick-borne viral encephalitis, unspecified",A84.9
" Other viral encephalitis, not elsewhere classified",A85
 Adenoviral encephalitis,A85.1
" Arthropod-borne viral encephalitis, unspecified Excludes1: West nile virus with encephalitis (A92.31)",A85.2
 Other specified viral encephalitis,A85.8
 Unspecified viral encephalitis,A86
 Viral meningitis,A87
 Enteroviral meningitis,A87.0
 Adenoviral meningitis,A87.1
 Lymphocytic choriomeningitis,A87.2
 Other viral meningitis,A87.8
" Viral meningitis, unspecified",A87.9
" Other viral infections of central nervous system, not elsewhere classified",A88
 Enteroviral exanthematous fever [Boston exanthem],A88.0
 Epidemic vertigo,A88.1
 Other specified viral infections of central nervous system,A88.8
 Unspecified viral infection of central nervous system,A89
 Dengue fever [classical dengue],A90
 Dengue hemorrhagic fever,A91
 Other mosquito-borne viral fevers,A92
 Chikungunya virus disease,A92.0
 O'nyong-nyong fever,A92.1
 Venezuelan equine fever,A92.2
" West Nile virus infection, unspecified",A92.30
 West Nile virus infection with encephalitis,A92.31
 West Nile virus infection with other neurologic manifestation Use additional code to specify the neurologic manifestation,A92.32
 West Nile virus infection with other complications Use additional code to specify the other conditions,A92.39
 Rift Valley fever,A92.4
 Other specified mosquito-borne viral fevers,A92.8
" Mosquito-borne viral fever, unspecified",A92.9
 Other,A93
 Oropouche virus disease,A93.0
 Sandfly fever,A93.1
 Colorado tick fever,A93.2
 Other specified arthropod-borne viral fevers,A93.8
 Unspecified arthropod-borne viral fever,A94
 Yellow fever,A95
 Sylvatic yellow fever,A95.0
 Urban yellow fever,A95.1
" Yellow fever, unspecified A96 Arenaviral hemorrhagic fever",A95.9
 Junin hemorrhagic fever,A96.0
 Machupo hemorrhagic fever,A96.1
 Lassa fever,A96.2
" Other arenaviral hemorrhagic fevers A96.9 Arenaviral hemorrhagic fever, unspecified",A96.8
" Other viral hemorrhagic fevers, not elsewhere classified Excludes1: chikungunya hemorrhagic fever (A92.0)",A98
 Crimean-Congo hemorrhagic fever,A98.0
 Omsk hemorrhagic fever,A98.1
 Kyasanur Forest disease,A98.2
 Marburg virus disease,A98.3
 Ebola virus disease,A98.4
 Hemorrhagic fever with renal syndrome,A98.5
 Other specified viral hemorrhagic fevers A99 Unspecified viral hemorrhagic fever,A98.8
 Eczema herpeticum,B00.0
 Herpesviral vesicular dermatitis,B00.1
 Herpesviral gingivostomatitis and pharyngotonsillitis,B00.2
 Herpesviral meningitis,B00.3
 Herpesviral encephalitis,B00.4
 Herpesviral ocular disease,B00.5
" Herpesviral ocular disease, unspecified",B00.50
 Herpesviral iridocyclitis,B00.51
 Herpesviral keratitis,B00.52
 Herpesviral conjunctivitis,B00.53
 Other herpesviral disease of eye,B00.59
 Other forms of herpesviral infections,B00.8
 Herpesviral hepatitis,B00.81
 Herpes simplex myelitis,B00.82
 Other herpesviral infection,B00.89
" Herpesviral infection, unspecified",B00.9
 Varicella [chickenpox],B01
 Varicella meningitis,B01.0
" Varicella encephalitis, myelitis and encephalomyelitis",B01.1
 Varicella encephalitis and encephalomyelitis,B01.11
 Varicella myelitis,B01.12
 Varicella pneumonia,B01.2
 Varicella with other complications,B01.8
 Varicella keratitis,B01.81
 Other varicella complications B01.9 Varicella without complication,B01.89
 Zoster [herpes zoster] Includes: shingles,B02
 Zoster encephalitis,B02.0
 Zoster,B02.1
 Zoster,B02.2
 Zoster,B02.3
 Postherpetic geniculate ganglionitis,B02.21
 Postherpetic trigeminal neuralgia,B02.22
 Postherpetic polyneuropathy,B02.23
 Postherpetic myelitis,B02.24
 Other postherpetic nervous system involvement,B02.29
" Zoster ocular disease, unspecified",B02.30
 Zoster conjunctivitis,B02.31
 Zoster iridocyclitis,B02.32
 Zoster keratitis,B02.33
